id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
20744571,Olarias View Apartment I (Terrace),24039534,Mafalda,Lisboa,Santa Maria Maior,38.71853,-9.13472,Entire home/apt,70,3,34,2019-06-23,1.56,14,299
20745659,Boat and coffee,100884771,Aiko,Lisboa,Alcntara,38.69883,-9.17864,Entire home/apt,40,1,31,2019-05-19,1.41,1,352
20751856,Home Away from home,148293897,Carolina,Cascais,Cascais e Estoril,38.71045,-9.4041,Entire home/apt,45,3,28,2019-06-19,1.28,1,175
20753281,ChezVous in Santo Estevão,114300442,Elia,Lisboa,Santa Maria Maior,38.7129,-9.12762,Entire home/apt,80,3,38,2019-06-08,1.75,2,114
20754016,Simple room with plenty of light,148643512,Josy,Cascais,Carcavelos e Parede,38.69287,-9.35722,Private room,17,3,3,2018-08-31,0.14,1,365
20755153,Santo Andre Terrace. Castle and Alfama close by.,688914,Luis,Lisboa,Santa Maria Maior,38.71425,-9.13159,Entire home/apt,58,2,14,2019-06-09,0.65,68,114
20756473,Casa Alves,113990392,Cesar & Ilze,Lisboa,Beato,38.73722,-9.12294,Entire home/apt,51,3,34,2019-06-10,1.78,1,49
20757321,Ambassador Boutique Apartment II (C67),143701949,BmyGuest Short Term Rental - Pedro,Lisboa,Belm,38.69817,-9.19689,Entire home/apt,68,1,2,2018-01-02,0.09,53,341
20757322,Ambassador Boutique Apartment I (C66),143701949,BmyGuest Short Term Rental - Pedro,Lisboa,Belm,38.69817,-9.19696,Entire home/apt,65,1,3,2017-12-08,0.14,53,331
20757426,Casa da Joana,73519447,Joana,Lisboa,Santo Antnio,38.72053,-9.14432,Private room,95,2,10,2018-05-29,0.46,1,0
20758880,Buen descanso,146700780,Michel,Amadora,Mina de gua,38.76445,-9.23909,Shared room,60,1,0,,,3,173
20761812,Apartment Lisbon Town Graça n 39,148717104,Pedro Neves,Lisboa,So Vicente,38.71999,-9.1238,Entire home/apt,70,2,5,2019-06-03,0.23,3,163
